Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,Color
1,5.1,3.5,1.4,0.2,Iris-setosa,blue
2,4.9,3,1.4,0.2,Iris-setosa,blue
3,4.7,3.2,1.3,0.2,Iris-setosa,blue
4,4.6,3.1,1.5,0.2,Iris-setosa,blue
5,5,3.6,1.4,0.2,Iris-setosa,blue
6,5.4,3.9,1.7,0.4,Iris-setosa,blue
7,4.6,3.4,1.4,0.3,Iris-setosa,blue
8,5,3.4,1.5,0.2,Iris-setosa,blue
9,4.4,2.9,1.4,0.2,Iris-setosa,blue
10,4.9,3.1,1.5,0.1,Iris-setosa,blue
11,5.4,3.7,1.5,0.2,Iris-setosa,blue
12,4.8,3.4,1.6,0.2,Iris-setosa,blue
13,4.8,3,1.4,0.1,Iris-setosa,blue
14,4.3,3,1.1,0.1,Iris-setosa,blue
15,5.8,4,1.2,0.2,Iris-setosa,blue
16,5.7,4.4,1.5,0.4,Iris-setosa,blue
17,5.4,3.9,1.3,0.4,Iris-setosa,blue
18,5.1,3.5,1.4,0.3,Iris-setosa,blue
19,5.7,3.8,1.7,0.3,Iris-setosa,blue
20,5.1,3.8,1.5,0.3,Iris-setosa,blue
21,5.4,3.4,1.7,0.2,Iris-setosa,blue
22,5.1,3.7,1.5,0.4,Iris-setosa,blue
23,4.6,3.6,1,0.2,Iris-setosa,blue
24,5.1,3.3,1.7,0.5,Iris-setosa,blue
25,4.8,3.4,1.9,0.2,Iris-setosa,blue
26,5,3,1.6,0.2,Iris-setosa,blue
27,5,3.4,1.6,0.4,Iris-setosa,blue
28,5.2,3.5,1.5,0.2,Iris-setosa,blue
29,5.2,3.4,1.4,0.2,Iris-setosa,blue
30,4.7,3.2,1.6,0.2,Iris-setosa,blue
31,4.8,3.1,1.6,0.2,Iris-setosa,blue
32,5.4,3.4,1.5,0.4,Iris-setosa,blue
33,5.2,4.1,1.5,0.1,Iris-setosa,blue
34,5.5,4.2,1.4,0.2,Iris-setosa,blue
35,4.9,3.1,1.5,0.1,Iris-setosa,green
36,5,3.2,1.2,0.2,Iris-setosa,green
37,5.5,3.5,1.3,0.2,Iris-setosa,green
38,4.9,3.1,1.5,0.1,Iris-setosa,green
39,4.4,3,1.3,0.2,Iris-setosa,green
40,5.1,3.4,1.5,0.2,Iris-setosa,green
41,5,3.5,1.3,0.3,Iris-setosa,green
42,4.5,2.3,1.3,0.3,Iris-setosa,green
43,4.4,3.2,1.3,0.2,Iris-setosa,green
